"Indigenous","Illiteracy","Urbanisation","Density","Poverty","Poor_Sanitation","Unemployment","Timeliness","Year","TB","Population","Region","lon","lat","TB_rate","Predicted_Risk"
4.307559936,33.10752572,62.22065783,1.141230494,72.10022986,40.09565887,6.539285536,48.3606557377,2012,42,131695,13004,-65.1024078406029,-7.14068493288451,0.000318918713694521,0.00027486393446227
3.012626956,15.78502392,74.05869704,1.223541848,66.95602185,20.83382825,5.363723216,30.3921568627,2012,43,87520,13005,-58.1999864639076,-2.90873197652239,0.000491316270566728,0.00029556444415707
0.947010771,18.12290859,60.82227611,1.162765525,66.90984234,35.1274883,9.134779153,39.7435897436,2012,46,156671,13006,-60.2497954240102,-3.30628376898618,0.000293608900179357,0.000299550916745533
0.655296107,4.908563328,93.81673086,0.859304851,41.11020878,4.893957443,10.48384884,75.5391679421,2012,1829,2106861,13007,-60.5444329766787,-6.68304796677017,0.000868116121566634,0.000733486177782353
1.359322418,9.20050398,47.65379816,0.886108676,55.57789907,37.74024024,10.4288499,50,2012,32,55600,13008,-68.7108626211151,-5.97852530364941,0.000575539568345324,0.000352730275130287
0.640017892,9.758551308,60.9832464,1.141540994,67.23815461,30.63258905,8.40687899,59.2039800995,2012,51,156384,13009,-67.5567791987594,-1.86797931340383,0.000326120319214242,0.000444140707091002
5.002884457,8.04621121,57.0669194,1.239283362,73.76745961,35.57395953,7.824594627,45.2145214521,2012,77,248506,13010,-58.5614995001586,-3.14843769287629,0.000309851673601442,0.000317987220324471
5.985901062,27.76636629,58.63355056,1.134660409,71.10207284,39.8761549,8.986358353,46,2012,22,49500,13011,-63.2206725824278,-4.12235223843046,0.000444444444444444,0.00031338632530044
7.64428333,29.40647482,59.7085563,1.069121526,70.59885081,42.57862055,6.897341888,54.7945205479,2012,12,70911,13012,-68.1455061555745,-8.10890906823312,0.000169226213140415,0.000336253789257593
6.279012212,16.29878895,54.2987873,1.105599204,65.44075289,42.30250896,8.442431181,40.5882352941,2012,56,170985,13013,-69.6979534058312,-4.759301693105,0.000327514109424803,0.000382421605256533
8.390401877,8.206570892,89.95104845,0.797905682,38.37150736,6.075712543,7.358698227,64.1089108911,2012,91,334076,14001,-60.4959323485675,0.318277131651132,0.000272393108155031,0.000444805643164837
44.71062619,17.07399434,22.33633776,1.353582541,57.66587112,48.46559707,9.245283019,53.8461538462,2012,11,44023,14002,-60.2495402963454,3.40396619599689,0.000249869386457079,0.000399428951654248
6.188225183,18.24739612,57.11454901,0.94739038,53.79554656,32.51801289,8.424441612,40,2012,7,43635,14003,-61.7495014751562,1.47919422375484,0.000160421679844162,0.000278033700322579
2.835859906,13.32681974,50.54669803,0.842478587,56.25716806,31.09534522,6.860729959,68.75,2012,12,47790,14004,-62.2234462980585,3.4860616121963,0.000251098556183302,0.000270199474284207
2.092883221,10.84206629,53.12386419,1.171584254,70.29388099,31.45797512,7.813914825,46.4788732394,2012,40,189429,15001,-49.9226578045601,-4.54509238502148,0.000211160909892361,0.000293222649049725
0.639185343,10.37482105,60.78617527,0.956100121,62.77746643,27.27702614,7.956556032,43.2098765432,2012,131,492734,15002,-48.6825489438201,-2.57331291148418,0.000265863528800529,0.000265555084371562
1.213556312,17.41492639,51.12919935,1.237581781,65.28843996,36.65421635,8.156437931,56.0975609756,2012,14,69092,15003,-51.9518831204717,-7.4381954953266,0.000202628379551902,0.000304896968819153
0.016165535,28.96888562,38.94816252,1.675060883,77.88346645,57.85149385,9.060787245,54.2857142857,2012,22,135041,15004,-54.6547047252305,-1.87149017708976,0.000162913485534023,0.000159415683555284
0.039683706,24.89057218,42.31164937,1.499051705,75.79084748,55.58191744,7.924277751,63.28125,2012,38,209923,15005,-47.7765449224519,-0.819896344051304,0.000181018754495696,0.00015752290063611
0.040525525,13.90592642,48.6907641,1.155836016,71.62642255,38.54480923,8.836839415,43.4343434343,2012,36,158333,15006,-49.5923159993611,-7.10067438183369,0.000227368899723999,0.000273694976715083
0.161463789,3.754233374,94.76295305,0.777849187,40.3013377,2.661755778,10.68357178,62.4945738677,2012,1880,2185084,15007,-51.0158936045642,-2.13530529053181,0.000860378822965158,0.00049855889635354
0.082028059,9.219134649,75.2892167,0.823821942,57.50872828,14.65724772,8.974411801,52.508361204,2012,185,305405,15008,-50.1595030816631,-6.38405311299633,0.000605753016486305,0.000358005168636993
0.059479012,11.41648049,53.2252191,0.922544618,67.27691113,15.43200749,6.932256932,37.1165644172,2012,110,251888,15009,-48.0515115111128,-3.84793499752322,0.000436702026297402,0.000260037907057597
0.081250898,17.97179397,56.30765613,0.878767078,69.3704302,25.78283337,7.573189361,36.3420427553,2012,131,390863,15010,-56.8793935516248,-0.104452760369033,0.000335155796276445,0.000256015418268971
0.038646062,13.74472489,49.50903495,1.246343048,74.00576435,42.66705076,7.309061537,75.5555555556,2012,101,449907,15011,-49.6610215278814,-5.64148273123267,0.000224490839217883,0.000267310421469483
0.233643235,17.39844337,49.7698336,1.117831845,68.50080108,36.63171794,9.384440383,55,2012,88,299079,15012,-56.4234728663554,-6.45248571774687,0.000294236639817573,0.000367335804645716
0.237253657,22.50068685,38.31865168,0.970897205,74.23657334,39.25540868,5.860432222,49.1150442478,2012,81,441719,15013,-47.1890032186994,-2.07440279214064,0.000183374498266998,0.000185469505429482
4.245195222,15.34141,56.05853072,0.884188895,56.77665894,32.75117977,6.477703557,34.2741935484,2012,72,240165,15014,-50.3744026719005,-0.8876769832372,0.000299793891699457,0.000184154824635034
1.875273843,16.20522624,58.56287425,0.811619783,54.69351026,38.91816294,5.465687828,56.880733945,2012,67,283554,15015,-50.193996488002,-8.70188611490172,0.000236286562700579,0.000195923500609114
0.52965071,16.84462005,67.98471249,0.840791391,62.00124841,27.62823323,9.747115346,60.4651162791,2012,68,340793,15016,-48.0311731032035,-1.38433555348913,0.000199534614854178,0.000281187070199193
0.678867093,16.82173258,71.07964529,0.829550943,59.87976297,19.36936317,10.85773649,67.4641148325,2012,71,306994,15017,-49.5320582023141,-2.36570256410987,0.000231274878336384,0.000333122844350199
2.544411436,12.85335537,57.68735793,0.802832391,50.58523116,36.20559868,7.418384629,57.4257425743,2012,50,177935,15018,-47.0732011105856,-1.14910933406776,0.000281001489307893,0.000176386471605485
0.511035952,10.93104978,75.61963598,0.775363759,45.6088843,17.04848931,10.32037285,54.7244094488,2012,66,271172,15019,-48.4939626655269,-1.36137211316836,0.000243387960408892,0.000248441735350144
0.189993889,13.1479622,74.79086625,0.78682536,50.54422996,19.08921706,9.036023176,66.6666666667,2012,85,295238,15020,-49.364478005612,-0.523034325630787,0.00028790331867849,0.000251780765850214
0.503848463,14.53022863,75.98995578,0.691051608,50.6051672,22.91904905,7.678847666,57.2222222222,2012,54,185608,15021,-53.3584108008835,-5.66800403868921,0.000290935735528641,0.000301907697637972
0.258991543,15.53263727,56.47917825,0.731634041,58.75002774,40.66872119,11.96196745,54.2372881356,2012,12,142249,15022,-53.6340250165028,-0.191710635744456,8.43591167600475e-05,0.000186523461943351
18.92642922,10.23295852,71.70354807,1.06502361,49.3102253,21.32384962,8.935268221,43.3333333333,2012,12,31004,16001,-51.7113562824226,2.8342644579527,0.000387046832666753,0.000310225080066526
0.040941658,14.0387887,62.87001024,1.129979359,65.69240902,30.7037037,10.75041167,80,2012,5,25619,16002,-52.8557324726391,0.655361711376273,0.0001951676490105,0.000313195410566694
0.311613175,7.424558944,93.01580036,0.890992066,45.52095298,5.094156657,11.85831665,70.3703703704,2012,159,569504,16003,-51.6857447582593,0.988555110447935,0.000279190312974097,0.000474839139035315
0.159937754,14.25608885,81.37805827,1.078095405,61.22143832,17.5959809,10.93051918,42.2535211268,2012,25,72475,16004,-50.8769641546233,1.57995378399117,0.00034494653328734,0.000308734853339
1.033778588,21.38664296,66.12669135,0.725457546,64.51604663,18.21081912,8.717875703,44,2012,21,199722,17001,-49.8585125034817,-11.3617554924533,0.000105146153152883,0.000281759290671925
0.275558203,12.58427302,83.5185338,0.645553413,45.00573639,13.04167869,6.787239185,78.4090909091,2012,38,286178,17002,-48.1467471131354,-10.1120041639631,0.000132784490771478,0.000239855888916636
0.194668747,15.12577077,70.02171576,0.594059948,50.36395857,23.84593798,6.13762159,30.4347826087,2012,8,143238,17003,-49.0026304839933,-9.11878121015153,5.58511009648278e-05,0.000168460763626948
3.068912605,11.40017573,79.06329201,0.571845482,43.16735175,17.70904926,7.1917999,40.9090909091,2012,40,118053,17004,-47.1656250000366,-9.53197341593414,0.000338830864103411,0.000169034315381945
0.201870031,10.00687893,84.70962053,0.556154313,37.98181858,13.56331691,6.702247613,52.9411764706,2012,10,139542,17005,-48.8449838510378,-11.9699369927054,7.16630118530622e-05,0.000171150503030349
1.099050876,6.136612791,91.4052239,0.621192844,32.33073532,6.815247173,6.359332827,54.0983606557,2012,42,338559,17006,-47.3425412806214,-12.1463450795668,0.000124055186835972,0.000190172278288716
3.612095933,21.18011637,56.63816475,0.750866753,63.45590083,34.48128113,7.564043629,55.5555555556,2012,5,73385,17007,-47.8995400026834,-6.03200887241816,6.81338148122913e-05,0.000217751765879099
0.06180679,19.23498733,71.18872238,0.598216618,56.84787979,26.57068063,10.02187227,55.1020408163,2012,21,119017,17008,-48.4465153176458,-7.34318106078121,0.000176445381752187,0.000234371639057737
0.07510245,21.08148557,47.61549723,0.783127958,74.06212997,34.97019107,5.836716828,25.7425742574,2012,52,185387,21001,-44.0031749327347,-2.92537898021364,0.000280494317293014,0.000187251707224274
0.160845623,5.19078126,83.37982021,0.70393166,42.70568053,5.15493995,11.7296108,36.3539445629,2012,674,1345368,21002,-44.2333448529728,-5.35285802942849,0.000500978171028299,0.000379549046078301
0.09243807,21.92016999,42.58479177,0.90492854,70.75357327,40.39963621,9.837973487,54.5454545455,2012,35,165969,21003,-47.1251836761184,-6.93944117451672,0.000210882755213323,0.000232934581076805
0.027241771,26.59378221,36.21566402,0.91643159,71.80190142,52.46211114,5.79846912,57.4468085106,2012,22,183427,21004,-45.9978576881303,-3.96687101688046,0.000119938722216468,0.000168108331107025
0.054414197,22.89171725,44.24441368,0.840406948,71.09315152,41.02425758,6.5600562,52.4822695035,2012,160,576587,21005,-44.8239627757538,-4.40111858919598,0.000277494983411003,0.000190235869514456
0.031790769,28.50068993,56.31141668,0.871804583,74.30941329,39.02212499,9.166019125,45.7943925234,2012,38,218636,21006,-44.7766866970633,-2.16721406690252,0.000173804862877111,0.000232664663213751
0.591491723,24.81937683,57.89129366,0.913607861,73.81612696,38.66687727,8.074276068,40.1041666667,2012,73,227567,21007,-43.0353527625571,-2.76021448766561,0.000320784648037721,0.00025481099998315
0.569331108,28.11515014,55.43543853,0.79958331,68.46885401,24.71427805,7.529920528,53.4274193548,2012,163,634376,21008,-44.1238760637466,-3.59065849217863,0.000256945407770786,0.000255365274332568
1.215631207,17.27397631,76.00773375,0.700855292,55.46329546,10.21015461,8.574439588,52.3195876289,2012,112,575448,21009,-47.1746411461435,-5.13163357883421,0.000194630965786657,0.000275062733696333
0.064324135,27.78590477,61.10962775,0.720867903,66.69035111,22.93087627,7.476146487,40.1515151515,2012,126,414136,21010,-46.075702189657,-2.33731561914139,0.000304247879923503,0.000209823508854615
6.086418685,27.76953511,47.04379901,0.790888483,66.50370289,26.72167649,7.043579326,32.0388349515,2012,58,316734,21011,-46.3135233576005,-8.47618326818682,0.000183118957863696,0.000207459554381515
0.067007287,28.25508027,57.81315437,0.684585311,67.18550744,13.86037984,5.204628272,23.3644859813,2012,35,192964,21012,-43.2683217119969,-4.36868515256178,0.000181380982981281,0.000168597276818097
0.035970964,32.50043137,37.35512694,0.808323467,73.21708252,40.63287595,8.054552942,30.612244898,2012,18,141956,21013,-44.0118940624767,-4.39729490937532,0.000126799853475725,0.000188014736564521
0.050949619,28.84914847,55.20891618,0.809396869,71.8075597,44.93522371,7.491610342,67.3913043478,2012,41,225548,21014,-43.2515762392851,-3.64276955017774,0.0001817794881799,0.000218011324758857
0.050329602,32.08176421,65.96167382,0.793851654,70.6633359,23.98396649,8.404530332,58.0508474576,2012,60,267789,21015,-44.1314797114091,-6.38470774305564,0.000224057000100826,0.000270985602032505
0.036673696,32.02392017,69.83703126,0.836694016,71.39561575,28.27026764,10.49248162,30.985915493,2012,22,89087,21016,-45.3557186632415,-7.13136181183804,0.000246949611054363,0.000275215440518926
0.091754799,24.78531815,73.13770185,0.72711245,64.55718758,19.08394089,7.148291866,68.0250783699,2012,121,424136,21017,-43.3972545939897,-5.24978993140483,0.000285285851707943,0.000284802402875059
0.120379482,29.054861,60.83415338,0.669936662,67.06500819,26.71837291,6.4314118,22.2222222222,2012,17,212427,21018,-42.4600229351935,-3.17446631470224,8.00274917971821e-05,0.000187305818685547
0.170105156,16.66144078,70.23887494,0.718324671,54.4036282,20.64093124,6.099525744,48.4848484848,2012,22,112995,21019,-45.1023369191897,-3.03889744330509,0.000194698880481437,0.000204433229058575
0.125742764,15.39497717,74.04945371,0.716797506,55.73842457,21.74372603,7.284768212,35.6164383562,2012,13,134229,21020,-45.6635753404265,-5.79246906540514,9.68494140610449e-05,0.000224971409659949
0.029396202,22.55449972,59.32153566,0.699636711,67.48338809,35.32838039,8.265378479,27.2727272727,2012,8,69548,21021,-44.2215045351555,-2.59750202509164,0.000115028469546213,0.000189790718274541
0.033093281,32.72787191,49.4249663,0.671636142,69.22109711,31.85427974,4.76290713,14.4827586207,2012,55,333303,22001,-41.6659986708039,-6.28890735263339,0.000165015016366489,0.000124224151396925
0.071826062,24.81296363,70.46861564,0.656657665,64.91765391,24.08194043,8.204303925,22.9681978799,2012,104,308877,22002,-42.6025064832222,-5.06796137961831,0.000336703606937389,0.000225914195019575
0.137202078,12.36473735,87.08899421,0.612961838,46.13753056,7.350078133,9.166944831,65.0236326806,2012,309,1017512,22003,-42.8767261345766,-8.80555510727016,0.000303681922178805,0.000278947277731809
0.021325154,30.35391501,51.97620657,0.629819552,67.78611095,28.69041496,7.050013941,21.8181818182,2012,42,221794,22004,-40.877619833991,-6.89908644643401,0.000189364906174198,0.000171089197444803
0.041287876,28.95100289,62.97853795,0.595082085,65.59607723,19.19605345,8.162765318,24.2424242424,2012,18,131478,22005,-41.8827508978421,-6.99255193436306,0.000136905033541733,0.000183892627542203
0.026916865,31.56544827,59.59682381,0.543966735,64.79869004,19.45056028,7.453771037,18.75,2012,12,104323,22006,-42.6643483854742,-6.1588629354565,0.000115027366927715,0.000147097712578052
0.032105674,20.30553787,68.76347292,0.665113086,57.03959484,26.29798903,9.149615934,17.3913043478,2012,10,44674,22007,-41.623113628378,-3.49530555423755,0.000223843846532659,0.000216134349450092
0.122898437,24.6872025,72.82961361,0.545072594,61.54074074,17.78520538,10.21432155,41.1764705882,2012,6,41017,22008,-43.0936068172128,-7.33338605126978,0.00014628081039569,0.000210398171312002
0.222141776,20.90655463,71.00473902,0.565900327,56.1477817,20.97902098,7.061421835,57.4468085106,2012,17,121889,22009,-44.561149609128,-10.2135200509967,0.000139471158184906,0.00014639948664904
0.137381352,23.08097693,56.69194786,0.651389046,64.78757611,23.61299665,7.53704037,22.2222222222,2012,12,89712,22010,-41.5951413272189,-5.19596697263466,0.000133761369716426,0.000204254434628457
0.06512633,28.46073641,44.08016459,0.642986608,65.28959363,47.66912944,6.714593557,24.4444444444,2012,11,137225,22011,-43.9727681319631,-7.6532379650006,8.01603206412826e-05,0.000105201591517543
0.050857309,21.37438095,53.43771191,0.642145515,67.12833483,41.77891314,9.08464533,33.3333333333,2012,5,83529,22012,-42.2422894337266,-4.03646060201094,5.98594500113733e-05,0.000184459947515168
0.091170032,25.56103195,58.18251038,0.563028116,59.60448565,14.20076159,6.804791047,22.2222222222,2012,48,201785,22013,-45.1015708431421,-8.28818486393713,0.000237876948236985,0.000123487723854961
0.043230157,33.74883504,42.38111707,0.624481069,64.9442334,39.79998809,5.341957662,11.1111111111,2012,6,58632,22014,-44.7179937138923,-9.24725014254406,0.000102333196889071,7.01472799890048e-05
0.124075163,32.21956534,40.05833442,0.646705742,69.50193566,44.73962991,6.787339268,14.2857142857,2012,39,264998,22015,-41.5803879492056,-7.95730008939157,0.000147170922044695,0.000105080347637207
0.705751305,29.33509132,53.98928211,0.748990442,73.7195297,29.75977442,6.655861054,31.2903225806,2012,92,366853,23001,-40.8513491338069,-4.53626366847507,0.000250781648235124,0.000247471798083082
0.055214932,27.54622254,50.36888994,0.632364658,71.24219867,26.65700741,4.402631844,32.9479768786,2012,49,300736,23002,-39.5383810317923,-6.64590819296347,0.000162933602894233,0.000171872764640496
0.012522809,35.23199271,59.27582382,0.70369204,72.99899591,30.15500847,6.879361914,36.3636363636,2012,27,56740,23003,-39.479998153642,-3.6748345692006,0.000475854776172013,0.000238503304149595
